Time,Throughput,Avg Delay,PDR
1,0,0,0
2,19.8809,0.0186,100
3,13.3659,0.349367,100
4,15.3958,0.459166,92.7541
5,12.3912,0.127861,95.7084
6,8.76059,0.180973,92.8829
7,8.32101,0.253896,90.6626
8,6.08585,0.292824,89.6924
9,5.79468,0.347422,88.8392
10,5.82712,0.387409,88.6663
11,5.13522,0.365096,87.6702
12,4.97286,0.372674,88.1791
13,4.32847,0.383405,87.5759
14,4.13866,0.384263,87.459
15,4.06386,0.383352,86.9433
16,3.94096,0.391957,87.0316
17,3.88706,0.411425,86.7587
18,3.85806,0.40073,87.1095
19,3.71323,0.398161,87.3393
20,3.6934,0.409299,87.4313
21,3.61965,0.400981,86.2358
22,3.36503,0.399298,85.6155
23,3.31589,0.397536,85.9378
24,3.17765,0.416959,85.6169
25,3.05382,0.438546,85.6344
26,3.10474,0.43721,85.6071
27,3.20591,0.436029,85.6907
28,3.65818,0.432463,85.4024
29,3.56708,0.434013,85.7575
30,3.32209,0.434465,85.5427
31,3.21496,0.433348,85.6852
32,2.84132,0.424484,85.2784
33,2.79767,0.422738,85.3041
34,2.96166,0.425329,85.4624
35,3.11987,0.396935,85.3119
36,2.90639,0.394071,84.7917
37,2.88167,0.393481,84.5081
38,2.78109,0.420933,84.7758
39,2.67266,0.427602,84.8951
40,2.62155,0.418346,85.0147
41,2.35612,0.408909,84.3542
42,2.35746,0.403992,83.9248
43,2.35014,0.402755,83.6554
44,2.38023,0.402548,83.5173
45,2.36775,0.40454,83.5786
46,2.30554,0.405038,83.7478
47,2.584,0.400803,83.397
48,2.43303,0.399946,83.3363
49,2.43552,0.397658,83.3438
50,3.26425,0.394186,83.3434
51,3.26675,0.376413,83.6168
52,3.10208,0.379694,83.7448
53,3.11041,0.374694,83.4067
54,2.97283,0.373842,83.6678
55,2.97606,0.373196,83.6333
56,2.97829,0.379418,83.8814
57,2.92823,0.374638,83.9743
58,2.8785,0.371633,83.7593
59,2.82827,0.373215,83.9841
60,2.79406,0.36301,83.8613
61,2.86129,0.36231,83.9204
62,2.89555,0.36444,84.0092
63,2.86586,0.361543,84.0321
64,2.86583,0.361445,84.0345
65,2.85603,0.358781,84.102
66,2.85266,0.35972,84.1318
67,2.85188,0.359253,84.1459
68,2.85161,0.359143,84.1477
69,2.85077,0.35835,84.1477
70,2.8507,0.357603,84.1657
71,2.85059,0.357562,84.1681
72,2.8506,0.357476,84.169
73,2.8506,0.357418,84.169
74,2.85052,0.357397,84.1695
75,2.85052,0.356982,84.18
76,2.85052,0.356972,84.1816
77,2.85052,0.356972,84.1816
78,2.85052,0.356972,84.1816
79,2.85052,0.356753,84.1892
80,2.85047,0.356634,84.1929
81,2.85047,0.356634,84.1929
82,2.8503,0.356543,84.1967
83,2.8503,0.356543,84.1967
84,2.8503,0.356543,84.1967
85,2.85029,0.356356,84.2022
86,2.85029,0.356356,84.2022
87,2.85029,0.356356,84.2022
88,2.85029,0.356356,84.2022
89,2.85029,0.356356,84.2022
90,2.85029,0.356356,84.2022
91,2.85029,0.356308,84.1903
92,2.85028,0.356345,84.205
93,2.85024,0.35624,84.2095
94,2.85024,0.35624,84.2095
95,2.85024,0.35624,84.2095
96,2.85018,0.3561,84.215
97,2.85018,0.3561,84.215
98,2.85018,0.3561,84.215
99,2.85018,0.3561,84.215
